seed,k,train_condition,train_snr,gate_activation,final_alpha
0,2,C,,0.7340456247329712,0.6605764031410217
0,2,C,,0.008379700593650341,0.6605764031410217
0,2,C,,0.0214181337505579,0.6605764031410217
0,2,C,,0.9591808915138245,0.6605764031410217
0,2,C,,0.02439897134900093,0.6605764031410217
0,2,C,,0.9775944352149963,0.6605764031410217
0,2,C,,0.5381474494934082,0.6605764031410217
0,2,C,,0.6772779226303101,0.6605764031410217
0,2,C,,0.10649289190769196,0.6605764031410217
0,2,C,,0.4492476284503937,0.6605764031410217
0,2,C,,0.11317852884531021,0.6605764031410217
0,2,C,,0.011025507934391499,0.6605764031410217
0,2,C,,0.20936450362205505,0.6605764031410217
0,2,C,,0.9716497659683228,0.6605764031410217
0,2,C,,0.8491911292076111,0.6605764031410217
0,2,C,,0.6150027513504028,0.6605764031410217
0,2,C,,0.11183809489011765,0.6605764031410217
0,2,C,,0.6036015152931213,0.6605764031410217
0,2,C,,0.11258392781019211,0.6605764031410217
0,2,C,,0.13349919021129608,0.6605764031410217
0,2,C,,0.1730654090642929,0.6605764031410217
0,2,C,,0.6406919956207275,0.6605764031410217
0,2,C,,0.13061708211898804,0.6605764031410217
0,2,C,,0.04818865284323692,0.6605764031410217
0,2,C,,0.7109619379043579,0.6605764031410217
0,2,C,,0.9804127216339111,0.6605764031410217
0,2,C,,0.4351477324962616,0.6605764031410217
0,2,C,,0.44010064005851746,0.6605764031410217
0,2,C,,0.9511550664901733,0.6605764031410217
0,2,C,,0.130849227309227,0.6605764031410217
0,2,C,,0.04600105807185173,0.6605764031410217
0,2,C,,0.6545699238777161,0.6605764031410217
0,2,C,,0.24134579300880432,0.6605764031410217
0,2,C,,0.6462057828903198,0.6605764031410217
0,2,C,,0.22620494663715363,0.6605764031410217
0,2,C,,0.9033941626548767,0.6605764031410217
0,2,C,,0.6964224576950073,0.6605764031410217
0,2,C,,0.15927283465862274,0.6605764031410217
0,2,C,,0.714415967464447,0.6605764031410217
0,2,C,,0.18236275017261505,0.6605764031410217
0,2,C,,0.9064551591873169,0.6605764031410217
0,2,C,,0.32111886143684387,0.6605764031410217
0,2,C,,0.046590548008680344,0.6605764031410217
0,2,C,,0.43109655380249023,0.6605764031410217
0,2,C,,0.4063330888748169,0.6605764031410217
0,2,C,,0.9219226837158203,0.6605764031410217
0,2,C,,0.6307592988014221,0.6605764031410217
0,2,C,,0.3292115032672882,0.6605764031410217
0,2,C,,0.04304376617074013,0.6605764031410217
0,2,C,,0.3752753734588623,0.6605764031410217
0,2,C,,0.039649996906518936,0.6605764031410217
0,2,C,,0.8378439545631409,0.6605764031410217
0,2,C,,0.02778691239655018,0.6605764031410217
0,2,C,,0.6592643857002258,0.6605764031410217
0,2,C,,0.23987285792827606,0.6605764031410217
0,2,C,,0.49274808168411255,0.6605764031410217
0,2,C,,0.2543046474456787,0.6605764031410217
0,2,C,,0.3277587890625,0.6605764031410217
0,2,C,,0.48338255286216736,0.6605764031410217
0,2,C,,0.5094742178916931,0.6605764031410217
0,2,C,,0.40433385968208313,0.6605764031410217
0,2,C,,0.8974016904830933,0.6605764031410217
0,2,C,,0.7435764670372009,0.6605764031410217
0,2,C,,0.8558597564697266,0.6605764031410217
0,2,C,,0.8227678537368774,0.6605764031410217
0,2,C,,0.04901396110653877,0.6605764031410217
0,2,C,,0.26388442516326904,0.6605764031410217
0,2,C,,0.07900327444076538,0.6605764031410217
0,2,C,,0.8032589554786682,0.6605764031410217
0,2,C,,0.2274499088525772,0.6605764031410217
0,2,C,,0.13692039251327515,0.6605764031410217
