seed,k,train_condition,train_snr,test_snr,macro_ap,macro_auc,accuracy
2,16,M,,5,0.9109700060982713,0.9713116439349442,0.8134328358208955
2,16,M,,10,0.9274636389993951,0.9774159369252297,0.8582089552238806
2,16,S,5.0,-5,0.6686525637048419,0.8904591208287626,0.6268656716417911
2,16,S,5.0,0,0.8226186595958787,0.9434577551397962,0.7425373134328358
2,16,S,5.0,5,0.8906880331186472,0.9646497096308518,0.7985074626865671
2,16,S,5.0,10,0.9104285808573493,0.9758778010084068,0.8507462686567164
2,32,C,,-5,0.5276944699507295,0.8438462727661113,0.44029850746268656
2,32,C,,0,0.7207117503505495,0.9110046469925196,0.5671641791044776
2,32,C,,5,0.8149102081466636,0.9433864745106304,0.7313432835820896
2,32,C,,10,0.8980676210333011,0.9681253552466099,0.7761194029850746
2,32,M,,-5,0.7990590394164707,0.9441937842356577,0.7201492537313433
2,32,M,,0,0.8953991716836056,0.9694381764963768,0.8208955223880597
2,32,M,,5,0.9359350727185352,0.981708422070083,0.8619402985074627
2,32,M,,10,0.947523386064564,0.9837035390826002,0.8917910447761194
2,32,S,5.0,-5,0.7177764069836926,0.9164827454568788,0.6567164179104478
2,32,S,5.0,0,0.8537455845178019,0.9551877387619673,0.7910447761194029
2,32,S,5.0,5,0.9178732906343157,0.9725306349617424,0.832089552238806
2,32,S,5.0,10,0.9413124803910365,0.9843322655580428,0.8731343283582089
3,2,C,,-5,0.5229534560947828,0.8161778468215842,0.4701492537313433
3,2,C,,0,0.6749548897810834,0.8894891850717445,0.5970149253731343
3,2,C,,5,0.77719568395159,0.924957782480388,0.6828358208955224
3,2,C,,10,0.8362759991616752,0.9464927316029791,0.7574626865671642
3,2,M,,-5,0.6053706278854064,0.8569110402118463,0.5746268656716418
3,2,M,,0,0.7002842936905426,0.8904784679515442,0.6268656716417911
3,2,M,,5,0.7665713864829836,0.9138839723596044,0.6791044776119403
3,2,M,,10,0.8026219263417854,0.9284070975140101,0.7052238805970149
3,2,S,5.0,-5,0.6184731653219907,0.8660802455183301,0.4962686567164179
3,2,S,5.0,0,0.7572468908986848,0.9128795111356391,0.6417910447761194
3,2,S,5.0,5,0.8268381770883418,0.9384563004423924,0.7425373134328358
3,2,S,5.0,10,0.8692317234610641,0.9538425092172249,0.7574626865671642
3,4,C,,-5,0.48504133427289015,0.7981877712308536,0.3917910447761194
3,4,C,,0,0.636111746375789,0.8636874431171456,0.5186567164179104
3,4,C,,5,0.7286579320535486,0.8969495042980778,0.6231343283582089
3,4,C,,10,0.7864436364941991,0.9218208220683914,0.7052238805970149
3,4,M,,-5,0.6571506502433186,0.8777855739402406,0.6231343283582089
3,4,M,,0,0.7718747393401458,0.9186233092445574,0.7126865671641791
3,4,M,,5,0.8312847709304225,0.9438537145117276,0.75
3,4,M,,10,0.8543190776003821,0.9536860386700878,0.7910447761194029
3,4,S,5.0,-5,0.6629321037827145,0.8928749891523321,0.5671641791044776
3,4,S,5.0,0,0.791994954870534,0.9327369370837622,0.6940298507462687
3,4,S,5.0,5,0.8604430914964883,0.9545967067029127,0.7873134328358209
3,4,S,5.0,10,0.9070828067766914,0.9712946466692307,0.8283582089552238
3,8,C,,-5,0.5341978109650273,0.8313728599272119,0.43656716417910446
3,8,C,,0,0.6894593303040827,0.8958871319961546,0.6082089552238806
3,8,C,,5,0.7722749152345852,0.9256442138737976,0.6940298507462687
3,8,C,,10,0.8486042434835215,0.9512954404406705,0.7686567164179104
3,8,M,,-5,0.6528592220311487,0.8895699667670083,0.6119402985074627
3,8,M,,0,0.770705756705233,0.9281656979505345,0.7052238805970149
3,8,M,,5,0.8314997319000755,0.9497235653448951,0.7798507462686567
3,8,M,,10,0.8575076849990874,0.9559457844410046,0.7873134328358209
3,8,S,5.0,-5,0.6752837237746382,0.887920841739376,0.5597014925373134
3,8,S,5.0,0,0.82981058990274,0.9446779136219176,0.7350746268656716
3,8,S,5.0,5,0.9090935168142477,0.9690232864100532,0.835820895522388
3,8,S,5.0,10,0.9319239618032855,0.9785053504034986,0.8843283582089553
3,16,C,,-5,0.5492331763929517,0.8395456321929963,0.48134328358208955
3,16,C,,0,0.7295788722912614,0.9079715107748163,0.6791044776119403
3,16,C,,5,0.8371871008693166,0.9516131908437393,0.7425373134328358
3,16,C,,10,0.9030701140053965,0.9652037854498904,0.8171641791044776
3,16,M,,-5,0.7065256597659488,0.9053639483935099,0.664179104477612
3,16,M,,0,0.8309202323833473,0.9473721430811645,0.7761194029850746
3,16,M,,5,0.8806669636815995,0.9632620822962927,0.8432835820895522
3,16,M,,10,0.8924104982338806,0.9668771368216154,0.8507462686567164
3,16,S,5.0,-5,0.7023765912685704,0.9105777839067742,0.6604477611940298
3,16,S,5.0,0,0.8477702421338776,0.9591665421677014,0.7761194029850746
3,16,S,5.0,5,0.931817600606732,0.9809398208877926,0.8470149253731343
3,16,S,5.0,10,0.9534638111130845,0.9876498919801489,0.8805970149253731
3,32,C,,-5,0.5696318464308772,0.8414700794857152,0.40671641791044777
3,32,C,,0,0.7332946965323842,0.9110951883256327,0.6082089552238806
3,32,C,,5,0.8286709196425549,0.9494632878666643,0.7201492537313433
3,32,C,,10,0.8967757292303755,0.9713193833980931,0.7985074626865671
3,32,M,,-5,0.7320939843821413,0.9146170273516857,0.6940298507462687
3,32,M,,0,0.8518369777390573,0.9567525167031411,0.7761194029850746
3,32,M,,5,0.9248170038309594,0.978268758307219,0.8582089552238806
3,32,M,,10,0.9492204542401402,0.9831378709083118,0.8955223880597015
3,32,S,5.0,-5,0.727217341848147,0.9072099122814234,0.6529850746268657
3,32,S,5.0,0,0.8935234155540602,0.9653931095307197,0.7723880597014925
3,32,S,5.0,5,0.9576230289898804,0.9879690519229294,0.8656716417910447
3,32,S,5.0,10,0.9726648635148847,0.9922728719238638,0.914179104477612
4,2,C,,-5,0.471966876244395,0.7950085349029543,0.40298507462686567
4,2,C,,0,0.6586620635219994,0.8800844487499321,0.5634328358208955
4,2,C,,5,0.7862031724922092,0.9325214885484161,0.6977611940298507
4,2,C,,10,0.8550133347314108,0.9588388289652493,0.746268656716418
4,2,M,,-5,0.588770465247972,0.8520269666688298,0.5111940298507462
4,2,M,,0,0.7149901109495841,0.9078570409852931,0.5970149253731343
4,2,M,,5,0.7910336165014449,0.9312986867702858,0.6902985074626866
4,2,M,,10,0.8243389114728447,0.9414281595337183,0.7313432835820896
4,2,S,5.0,-5,0.5516676696701089,0.8451109255610483,0.4552238805970149
4,2,S,5.0,0,0.7144407992746222,0.8940650407996393,0.5932835820895522
4,2,S,5.0,5,0.8040858273177669,0.9256612840284125,0.7126865671641791
4,2,S,5.0,10,0.8577953322836918,0.9487964474971984,0.753731343283582
4,4,C,,-5,0.4713495559179178,0.7889627929465384,0.39552238805970147
4,4,C,,0,0.6397645627665345,0.8671180310148376,0.5186567164179104
4,4,C,,5,0.7428052518781466,0.9132872702920568,0.6305970149253731
4,4,C,,10,0.822039980004814,0.9432126392795801,0.6791044776119403
4,4,M,,-5,0.6645563578566394,0.8828560615110769,0.6492537313432836
4,4,M,,0,0.7658030314752206,0.9233567231710275,0.7388059701492538
4,4,M,,5,0.8081041043077937,0.9410657863781181,0.7425373134328358
4,4,M,,10,0.834787213347414,0.9422117416559237,0.7611940298507462
4,4,S,5.0,-5,0.6884362781491634,0.8959113184006559,0.6380597014925373
4,4,S,5.0,0,0.8066537138512808,0.9345321213495934,0.7574626865671642
4,4,S,5.0,5,0.8668495733564325,0.9499684454539298,0.7910447761194029
4,4,S,5.0,10,0.8902221653766799,0.9611972540117529,0.8246268656716418
4,8,C,,-5,0.498975164631266,0.8122318991958819,0.45149253731343286
4,8,C,,0,0.6468766759612646,0.8870242275547718,0.5932835820895522
4,8,C,,5,0.7559982962532663,0.9252763716584221,0.7052238805970149
4,8,C,,10,0.8287317387647021,0.9447512307487386,0.75
4,8,M,,-5,0.6042053153314085,0.8520471030871475,0.6380597014925373
4,8,M,,0,0.7291644131085729,0.9040200183132328,0.7089552238805971
4,8,M,,5,0.8170727540570105,0.9355959967575531,0.7910447761194029
4,8,M,,10,0.8493951032630171,0.9465031810451838,0.8208955223880597
4,8,S,5.0,-5,0.6246591080181197,0.8595668144013916,0.5970149253731343
4,8,S,5.0,0,0.7932590740551001,0.9234183146563761,0.7126865671641791
4,8,S,5.0,5,0.8743716978040357,0.9548147923848914,0.7947761194029851
4,8,S,5.0,10,0.9065817994264551,0.9668589884771832,0.8656716417910447
4,16,C,,-5,0.5267326698243548,0.8172201979501076,0.4216417910447761
4,16,C,,0,0.7106342515433143,0.9015375849755264,0.6194029850746269
4,16,C,,5,0.7934417577959447,0.9426827585107448,0.75
4,16,C,,10,0.887504994512014,0.9677331459063624,0.8283582089552238
4,16,M,,-5,0.7680113015017224,0.9254692552322842,0.7126865671641791
4,16,M,,0,0.8691892084559087,0.9591957735805836,0.8059701492537313
4,16,M,,5,0.907013864912696,0.9747926037418121,0.8395522388059702
4,16,M,,10,0.9305012445382783,0.9815445023169651,0.8582089552238806
4,16,S,5.0,-5,0.7644547069185499,0.9246687672425206,0.6529850746268657
4,16,S,5.0,0,0.8890842392227861,0.964092222959306,0.7910447761194029
4,16,S,5.0,5,0.9285485337207827,0.9830735771022964,0.8582089552238806
4,16,S,5.0,10,0.9539664084126612,0.9901091388965211,0.8805970149253731
4,32,C,,-5,0.5782143144796382,0.8539443778142949,0.458955223880597
4,32,C,,0,0.7372511000669382,0.9141532552479771,0.6417910447761194
4,32,C,,5,0.8466889787499529,0.9439083844396069,0.7388059701492538
4,32,C,,10,0.9089669940365257,0.9697755325188967,0.7947761194029851
4,32,M,,-5,0.7630639732266379,0.920035921302427,0.6791044776119403
4,32,M,,0,0.8538568252930963,0.955832483044796,0.7947761194029851
4,32,M,,5,0.9035357386587536,0.9757314589500157,0.8432835820895522
4,32,M,,10,0.9355996156132939,0.9846497206840363,0.8694029850746269
4,32,S,5.0,-5,0.6896539172912408,0.8985404209829626,0.5932835820895522
4,32,S,5.0,0,0.8541418731478209,0.9547942477164405,0.8097014925373134
4,32,S,5.0,5,0.9183201592063162,0.9743396577164699,0.8656716417910447
4,32,S,5.0,10,0.9457143044275484,0.9837776449575827,0.8917910447761194
