seed,k,train_condition,train_snr,stage,epoch,loss,alpha
0,2,C,,joint,28,0.323418527841568,0.625697135925293
0,2,C,,joint,29,0.31522202491760254,0.6265232563018799
0,2,C,,joint,30,0.31936535239219666,0.6247087717056274
0,2,C,,joint,31,0.31427326798439026,0.6230320334434509
0,2,C,,joint,32,0.3135587275028229,0.6224989891052246
0,2,C,,joint,33,0.32126569747924805,0.6278957724571228
0,2,C,,joint,34,0.3148788511753082,0.6260626316070557
0,2,C,,joint,35,0.3167949318885803,0.6264805197715759
0,2,C,,joint,36,0.31760725378990173,0.628246545791626
0,2,C,,joint,37,0.3096877932548523,0.6290000081062317
0,2,C,,joint,38,0.3218885660171509,0.6342732310295105
0,2,C,,joint,39,0.3075612783432007,0.6334054470062256
0,2,C,,joint,40,0.31877556443214417,0.6318491101264954
0,2,C,,joint,41,0.3168520927429199,0.6311017274856567
0,2,C,,joint,42,0.31254836916923523,0.6334556937217712
0,2,C,,joint,43,0.30658331513404846,0.6354885697364807
0,2,C,,joint,44,0.320329874753952,0.6405118703842163
0,2,C,,joint,45,0.3136455714702606,0.6390601396560669
0,2,C,,joint,46,0.31052544713020325,0.6382761001586914
0,2,C,,joint,47,0.30544814467430115,0.635969877243042
0,2,C,,joint,48,0.31374573707580566,0.6417068839073181
0,2,C,,joint,49,0.3233552575111389,0.638801097869873
0,2,C,,joint,50,0.3159605860710144,0.6378256678581238
0,2,C,,joint,51,0.3258829414844513,0.6373305320739746
0,2,C,,joint,52,0.3216440677642822,0.6369909048080444
0,2,C,,joint,53,0.32292187213897705,0.6400406956672668
0,2,C,,joint,54,0.30932947993278503,0.641875684261322
0,2,C,,joint,55,0.30199891328811646,0.6423608660697937
0,2,C,,joint,56,0.30727580189704895,0.6458302736282349
0,2,C,,joint,57,0.30125242471694946,0.6463280916213989
0,2,C,,joint,58,0.3126857876777649,0.6449102759361267
0,2,C,,joint,59,0.3155747950077057,0.6478755474090576
0,2,C,,joint,60,0.3067149817943573,0.6550275087356567
0,2,C,,finetune,1,0.31966668367385864,0.6520851850509644
0,2,C,,finetune,2,0.3119170665740967,0.6516937613487244
0,2,C,,finetune,3,0.30444684624671936,0.6505323052406311
0,2,C,,finetune,4,0.3104567527770996,0.6463960409164429
0,2,C,,finetune,5,0.3083561956882477,0.6460500359535217
0,2,C,,finetune,6,0.31016719341278076,0.6482043266296387
0,2,C,,finetune,7,0.30111122131347656,0.6494119763374329
0,2,C,,finetune,8,0.3039992153644562,0.6511456370353699
0,2,C,,finetune,9,0.3046865463256836,0.6507794260978699
0,2,C,,finetune,10,0.3117322027683258,0.6491349339485168
0,2,C,,finetune,11,0.30424052476882935,0.6470836997032166
0,2,C,,finetune,12,0.3096282184123993,0.6494130492210388
0,2,C,,finetune,13,0.3027397692203522,0.6504049897193909
0,2,C,,finetune,14,0.3038663864135742,0.650351881980896
0,2,C,,finetune,15,0.30107125639915466,0.6500015258789062
0,2,C,,finetune,16,0.303732693195343,0.6505638360977173
0,2,C,,finetune,17,0.30347421765327454,0.6495793461799622
0,2,C,,finetune,18,0.3039482533931732,0.6510986089706421
0,2,C,,finetune,19,0.3052883446216583,0.649540364742279
0,2,C,,finetune,20,0.30383747816085815,0.6475566625595093
0,2,C,,finetune,21,0.3066096007823944,0.6469239592552185
0,2,C,,finetune,22,0.30185624957084656,0.6494470834732056
0,2,C,,finetune,23,0.3079462945461273,0.6525329947471619
0,2,C,,finetune,24,0.30558058619499207,0.6526292562484741
0,2,C,,finetune,25,0.30193212628364563,0.6516896486282349
0,2,C,,finetune,26,0.48339712619781494,0.6463466286659241
0,2,C,,finetune,27,0.3025396764278412,0.6447031497955322
